0	iPhone6に変えたマン(￣▽￣)
-1	むしろそれが普通でシャープスマホがゴミなだけか
0	カメラはそれほどでもないけど、オーディオは気になる。 #Xperiaアンバサダー
0	まぁZ3はツナギだし、使い捨てなので特に思い入れは無いですね。冬なので、iPhone6, Z3, SmartWatch3でWhiteカラーに統一したい為だけに買ったような感じです。
0	今日はよく喋るルンバ #usat
0	シャープも終わった。携帯からスマホまでずっと使って来たけど次は止めとこう。サヨウナラ👋
0	ネコちゃん2匹いるから、ルンバも大変だったんだ～（＾▽＾笑）
0	コンビニでトイレの近くにコピー機があるとこは行きたくないんだ。
0	シャープの往生際の悪さ
0	Xperia撤退まじか
0	iPhone6て発売してどのくらいたつ？2年たった？ ぼくのiPhone6、電池切れがはえーきがする
0	今日エレクトックスで馬鹿踊りしすぎて、iPhone6紛失しました
0	シャープの技術が海外に流出ってニュースに書いてるけど、ごたごた経営陣が揉めて、喪失なっちゃうよりマシだと思うんだ。多くの技術なんて20年で特許が切れて人類共通の財産になるんだぜ。（使い方忘れない程度に使い続けてれば）そんな事より大切なのは継続して技術を生み出す能力だよね。
0	Xperia→性能のバランスがいい、デザインは可もなく不可もなく HTC→オシャレだけどちょっと性能に難あり Galaxy→ハイエンドな感じだけどデザイン、中身共に残念 AQUEOUS PHONE→最近()不調な感じ、デザインは普通 Arrows→視野に入らないデザイン
0	えーえーえー⤵︎iPhone6sに変えるのにまだ予約必要なんてしらんがなー⤵︎聞いとらんがなー⤵︎⤵︎⤵︎旅行前に変えたかったのにぃ⤵︎明日電話かけまくるしかないがなー⤵︎⤵︎間に合うかなー⁇⤵︎⤵︎⤵︎
0	ルンバを買ったので走らせてる。たのしい！
0	マツコの知らない世界、喋る自動掃除機に好きな声優の声を選べる機能つければヲタにバカ売れやで。先ずはルンバ繋がりでバサ姉(堀江由衣)で。
-1	もうやだ！！iphone6ひ弱すぎ！！！
0	シャープどうなっちゃうのやら
0	303shなら4.5インチの大画面がiphone5サイズですよスペックもハイエンドクラスですよさあ皆さんAQUOSにしましょう
-1	今年のスマホの夏モデルがペリアZ4もシャープもアローズもバタも全部ダメね マシなのはギャラクチョンS6と発熱少ないスナドラS808使ったLGね そもそもスナドラS810は熱すごいのってなんで試作段階で気づかないのか謎
-1	シャープや東芝が”人員削減”だけで赤字削減しようとしているように見えるけど、それではダメなような気がする。採算が取れない”事業”を切り離さない限り、再浮上はできないような気がする。特にシャープは危機的だ。人員削減に精を出しすぎて、人心が猛烈な勢いで削減されている。残るも地獄だ。
0	やっとこ、ヤル気が湧いてきたので家の掃除ー。  何時もはココロボさんにお願いしているのですが、モップがけとか、放置していた庭の草むしり、洗濯やら冷蔵庫の整理やらなんやらを実施。  やっとこ春を迎える準備が出来ました。  会社の方面は見ない方向でー
0	発売日が決まったのにまだ値段が出ないぞ～Xperia Z5 compact
0	Xperia z5買っちゃおっかなー
0	JR西日本のコンビニが全部セブンイレブン化したら、駅ナカ店舗でもネットでプリント対応のマルチコピー機を設置したり、レターパックとかスマートレターの販売もしてくれるのかな……？ だとしたらちょっと便利になるけど。（さすがに元キヨスク店舗のセブンイレブン・キヨスクでは無理だろうけど）
1	そして近所のセブンイレブンのコピー機っつかプリンターが、いよいよ最新機に置き換わってた。すっげえ綺麗、おまけに早い！！ すごいなー、流石だなー。
0	Xperia Z5今日発売か
0	iPhone6いじってInstagram見てるなう 2016/02/08 月 23:35:10
0	そして約3年連れ添ったiPhone5君とお別れをしてきたよ 新たにiPhone6Sさんと仲良くやろうと思ってます
0	やっとケータイ届いた＼(^^)／XPERIAの新機種♥
0	ルンバって外部からアクセスできるのか めっちゃ面白そうなんだけど
-1	xperia z3tcにLP入れたけど使いにくすぎて結局KKに戻す
0	シャープの電子ノートが気になる。
0	エヴァスマホは今回もシャープ製か。ミク除いてコラボモノはシャープばっかりやな。
0	セブンのプリントまだしてないけど第一弾もまだできる…？
1	プリターが壊れて印刷出来ないという事態発生！でも、今はネットプリントでデータを入力すればコンビニでプリントできるのね〜♡プリンターいらねぇわ、こりゃ。1枚20円だけど
0	マイク付きで交換用イヤーパットも2つとか　豪華やな。今のxperiaも付属品についているのかな
-1	最近スマフォがおかしくなる… auのAQUOSフォン、カード読めないことがちょいちょい
0	ルンバ…すごい溜まってた(ごみが)
0	動く掃除機の後を追いかけてたらCOCOROBOである意味がない(笑)
0	電子書籍(電子版ジャンプや自炊した本)を読む為に使っていたタブレットを防水のものに変えた。XPERIA Z2 タブレットというやつ。 すげえ。よくわからない消せないアプリがいっぱいあって、勝手に世界へと繋げようとしてくる
1	XPERIA Z5 4Kで撮影しても50分は撮影出来たそうです そこで強制終了となったそうです 理由は容量不足みたいです 熱対策はかなり良さそうですね そろそろスマホ変えたい 3DMARKのスコアが24000の端末が欲しいです
0	#nhk24    シャープはホンハイと社名が変わるのですか?
0	Xperiaは熱い(物理)
0	カメラはAQUOSにしなければ、別個に揃えるってことはないのかな。
0	iPhone6やWiiUのゲームパッドは普通に出来たのに何でやねん！！
0	なんでシャープのために税金納めなあかんねん  駄目なら消えるが世の中の流れ
-1	Xperiaのミュージックアプリ埋め込んだ歌詞見れなくて悲しい
