> 
result/edit/model-e2e-stack_ve256_vu256_depth6_adam_lr0.002_du0.1_dh0.0_True_size60_sub1127_th0.5_it3_rs2020_preFalse_loss-sum.h5
6
{'depth': 6, 'lr': 0.002, 'size': 60, 'sub': 1127, 'th': 0.5, 'it': 3, 'rs': 2020, 'pre': 'False', 'loss': ''}
vocab size:  29396
[33mresult/edit/model-e2e-stack_ve256_vu256_depth6_adam_lr0.002_du0.1_dh0.0_True_size60_sub1127_th0.5_it3_rs2020_preFalse_loss-sum.h5[0m


== iter 0 ==

 [35mめぐる[0m
亀井	null	[0.00 0.00 0.00 1.00]
静香	null	[0.00 0.00 0.00 1.00]
運輸	null	[0.00 0.00 0.00 1.00]
相	null	[0.00 0.00 0.00 1.00]
は	null	[0.00 0.00 0.00 1.00]
十三	null	[0.00 0.00 0.00 1.00]
日	null	[0.00 0.00 0.00 1.00]
朝	null	[0.00 0.00 0.00 1.00]
の	null	[0.00 0.00 0.00 1.00]
閣議	null	[0.00 0.00 0.00 1.00]
後	null	[0.00 0.00 0.00 1.00]
の	null	[0.00 0.00 0.00 1.00]
記者	null	[0.00 0.00 0.00 1.00]
会見	null	[0.00 0.00 0.00 1.00]
で	null	[0.00 0.00 0.00 1.00]
、	null	[0.00 0.00 0.00 1.00]
成田	null	[0.00 0.00 0.00 1.00]
空港	null	[0.00 0.00 0.00 1.00]
建設	[34mo[0m	[0.00 1.00 0.00 0.00]
を	null	[0.00 0.00 0.00 1.00]
めぐる	null	[0.00 0.00 0.00 1.00]
国	null	[0.01 0.00 0.00 0.99]
側	null	[0.25 0.00 0.00 0.75]
と	null	[0.00 0.00 0.00 1.00]
接触	null	[0.00 0.00 0.00 1.00]
を	null	[0.00 0.00 0.00 1.00]
拒む	null	[0.00 0.00 0.00 1.00]
いる	null	[0.00 0.00 0.00 1.00]
三里塚	null	[0.00 0.00 0.00 1.00]
・	null	[0.00 0.00 0.00 1.00]
芝山	null	[0.00 0.00 0.00 1.00]
連合	null	[0.00 0.00 0.00 1.00]
空港	null	[0.00 0.00 0.00 1.00]
反対	null	[0.00 0.00 0.00 1.00]
同盟	null	[0.00 0.00 0.00 1.00]
小川	null	[0.00 0.00 0.00 1.00]
派	null	[0.29 0.00 0.00 0.71]
の	null	[0.00 0.00 0.00 1.00]
小川	null	[0.00 0.00 0.00 1.00]
喜平	null	[0.00 0.00 0.00 1.00]
さん	null	[0.34 0.00 0.00 0.66]
から	null	[0.00 0.00 0.00 1.00]
手紙	null	[0.01 0.00 0.00 0.99]
で	null	[0.00 0.00 0.00 1.00]
謝罪	null	[0.00 0.00 0.00 1.00]
を	null	[0.00 0.00 0.00 1.00]
求める	null	[0.00 0.00 0.00 1.00]
られる	null	[0.00 0.00 0.00 1.00]
こと	null	[0.00 0.00 0.00 1.00]
